class_label,activity_name
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
6,LAYING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
4,SITTING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
5,STANDING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
1,WALKING
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
3,WALKING_DOWNSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
2,WALKING_UPSTAIRS
